"ID";"Date MAJ";"Nom";"Statut";"EPN";"Nature";"Contact mail";"Adresse";"Code postal";"Commune";"Téléphone";"Site internet";"Accès équipement";"Type équipement";"Conditions accès équipement";"Coût accès équipement";"Médiation numérique";"Type médiation numérique";"Conditions accès médiation numérique";"Accompagnement médiation numérique";"Coût accès médiation numérique";"Fréquence médiation numérique";"Démarches";"Démarches spécifiques";"Type démarches";"Conditions accès démarches";"Accompagnement démarches";"Coût accès démarches";"Fréquence démarches";"Stockage";"Coût stockage";"Vente matériel";"Typé vente matériel";"Détail publics";"Détail territoire";"PMR";"Accès transports en commun";"APTIC";"Latitude";"Longitude";"Département";"Arrondissement";"EPCI"
0021;2018;Humanis / Ville de Roubaix;Mixte;Non;Association;guillaume.alsac.ext@humanis.com;13 Rue Pierre Motte;59170;Roubaix;06 85 32 47 33;https://reseau-confiance-roubaix.humanis.com/fr/login;Non;-----;-----;-----;Oui;"« Réseau de Confiance », c’est une démarche de territoire qui vise à renforcer la vie sociale de chaque senior grâce à un accès facilité à un réseau de personnes fiables et à des activités de proximité. Le réseau propose des ateliers d'initiation au numérique en petits groupes (3 ou 4) encadrés par deux intervenants sur 4 à 6 semaines.";Accès libre;-----;Gratuit;-----;Oui;-----;"Une permanence d'accueil, dans les locaux d'Humanis, sans rendez-vous permet également d'accompagner le public dans la réalisation de leurs démarches.";Accès libre;-----;Gratuit;-----;Non;-----;Non;-----;Personnes âgées et/ou handicapées;-----;-----;-----;-----;"50,686901";"3,190715";Nord;Lille;Métropole Européenne de Lille
0024;2018;Centre Social La Busette;Public;Non;"Centre social, Maison de quartier";cs.cyberbusette@gmail.com;1 Rue Georges Lefebvre;59000;Lille;03 20 49 02 53;https://cslabusette.wordpress.com/;Oui;"Avec la présence d'un médiateur social, accès libre aux ordinateurs ainsi qu'à la connexion WiFI. Possibilité d'être accompagné et aidé individuellement sur une démarche ou un besoin précis.";Accès libre;Gratuit - Tarif d’adhésion annuelle : 6€;Oui;"Ateliers d'informatique -  Numérique au quotidien  - Avec un médiateur numérique, cours sur une thématique qui change tous les mois selon les envies des participants. / Avec un membre de l'UTPAS : constitution et suivi des dossiers administratifs ; conseils et orientations vers les structures adéquates.";Sur inscription;En groupe;Gratuit - Tarif d’adhésion annuelle : 6€;-----;Oui;Accompagnement autour des télé-services administratifs;-----;Accessible à tous;Personnalisé;Gratuit;-----;Non;-----;Non;-----;Adhérents du Centre Social;-----;Oui;-----;-----;"50,63086";"3,074662";Nord;Lille;Métropole Européenne de Lille
0025;15/05/2020;Maison de Quartier les Moulins;Privé;Non;"Centre social, Maison de quartier";cybermdqmoulins@orange.fr;1 rue Armand Carrel;59000;Lille;03 20 53 45 05;http://www.maisondequartierlesmoulins.fr/;Oui;"Avec la présence d'un médiateur numérique, accès libre aux ordinateurs, à l'imprimante, à la connexion WiFI.";Accès libre avec accompagnement personnalisé sur demande;Gratuit;Oui;"Accompagnement à la recherche d'emploi - Avec un médiateur social et un animateur numérique : réalisation d'un bilan de compétences, rédaction de CV et lettres de motivation, recherche d'offres d'emploi, navigation sur le site Pôle Emploi";Accès libre;Personnalisé;"Tarifs pour une adhésion annuelle : - jeunes de 11 à 25 ans : 5€ - adulte au Quotient Familial inférieur à 470€ : 7,50€ sinon 10€";-----;Oui;-----;"Possibilité d'être accompagné individuellement sur un problème, une question, une démarche. Un service de proximité d'aide numérique à domicile : SOS NUMERIK est aussi disponible (accompagnement personnalisé sur rdv - prix libre)";-----;Individuel;voir adhésion;-----;Non;-----;Non;-----;Tout public;-----;-----;-----;-----;"50,617921";"3,07383";Nord;Lille;Métropole Européenne de Lille
0031;2018;Centre Social d'Ostricourt;Public;Non;"Centre social, Maison de quartier";-----;251 Avenue du Maréchal Leclerc;59162;Ostricourt;03 27 89 81 12;http://centresocialostricourt.e-monsite.com/;Non;-----;-----;-----;Oui;Ateliers sur les bases de l'informatique en vue de l'insertion - Formation de 24h (sessions de 2h/semaine) portant sur les bases nécessaires aux tâches administratives;Sur inscription;En groupe;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Allocataires RSA;-----;Oui;-----;-----;"50,458208";"3,029403";Nord;Lille;CC Pévèle-Carembault
0033;2018;Centre Social du Centre Ville;Public;Non;"Centre social, Maison de quartier";-----;9 Quai Saint-Lazare;59400;Cambrai;03 27 70 02 02;http://www.centresocialcambrai.fr/CSCV/;Oui;Cyber centre disposant de 8 postes en accès libre;Accès libre avec accompagnement personnalisé sur demande;Gratuit;Non;-----;-----;-----;-----;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,180505";"3,229909";Nord;Cambrai;CA de Cambrai
0038;2018;Centre Socio-Culturel de Denain;Public;Non;"Centre social, Maison de quartier";-----;"Maison de Quartier Fernand Duchateau, 59 rue Patrick Roy";59220;Denain;03 27 32 13 21;-----;Non;-----;-----;-----;Oui;"Atelier d'initiation à l'informatique (bureautique, internet, démarches en ligne, etc.). Cours ouvert à tous, mais les séniors sont prioritaires.";Accès libre;En groupe;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Adhérents;-----;Oui;-----;-----;"50,318168";"3,402956";Nord;Valenciennes;CA de la Porte du Hainaut
0039;2018;Centre Socio-Culturel Agora;Public;Non;"Centre social, Maison de quartier";csagora@acsrv.org;18 avenue Julien Renard;59282;Douchy les Mines;03 27 44 05 42;-----;Oui;Le Centre Social dispose d'une salle comprenant plusieurs postes informatiques ouverte aux usagers de la structure ainsi qu'aux habitants de la ville.;Accès libre avec accompagnement personnalisé sur demande;Gratuit;Non;-----;-----;-----;-----;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,300205";"3,392276";Nord;Valenciennes;CA de la Porte du Hainaut
0040;2018;Maison de Quartier Sabatier;Privé;Non;"Centre social, Maison de quartier";sabatier.amqr@gmail.com;78D rue de Thiers;59590;Raismes;03 27 51 43 80;https://www.quartiersderaismes.fr/index.php/sabatier;Non;-----;-----;-----;Oui;"Ateliers de formation à l'informatique (bureautique, internet, démarches en ligne, etc.). 2 niveaux : débutants et confirmés";Sur inscription;En groupe;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Adhérents;-----;Oui;-----;-----;"50,406036";"3,517429";Nord;Valenciennes;CA de la Porte du Hainaut
0041;2018;Centre Social Rural de Lamorlaye;Public;Non;"Centre social, Maison de quartier";-----;87 avenue de la Libération;60260;Lamorlaye;03 44 21 61 61;http://www.centre-social-rural-lamorlaye.org/;Oui;-----;Accès libre;Gratuit;Oui;"Mise à disposition, via une convention de prêt, par le Centre Social de tablettes numériques Ardoiz, adaptées aux séniors.   Initiation à la tablette numérique Ardoiz – « Nos séniors connectés » : prise en main, mise en fonction.";Sur rendez-vous / Nombre de tablettes limité;Individuel;Gratuit; suivi hebdomadaire avec un visiteur de la structure;Oui;-----;"L'association du Centre Social Rural de Lamorlaye est partenaire d'appui à l'accueil des usagers de la CAF de l'Oise.   Elle propose un accès libre et sécurisé aux sites internet de la CAF : caf.fr, mon-enfant.fr, viesdefamilles.fr   L'usager peut recevoir un accompagnement s'il le souhaite";Accès libre;Personnalisé;-----;-----;Non;-----;Non;-----;Séniors éloignés du numériques;-----;Non;-----;-----;"49,157095";"2,445793";Oise;Senlis;CC de l'Aire Cantilienne
0045;14/12/2020;Faitout Connecté;Public;Oui;France Service;Faitout@cc-champagnepicarde.fr;2 bis route de Montaigu;02820;Saint Erme;0323223190;https://www.lefaitoutconnecte.fr/se-former/france-services;Oui;Mise à disposition d'ordinateurs avec connexion internet    Reliés à l'imprimante et au scanner    Connexion WiFi;Accès libre;Gratuit;Oui;Accès libre avec possibilité d'être accompagné si besoin;-----;Individuel;Gratuit;-----;Oui;Oui;"La labellisation France Services permet au minimum de réaliser ses démarches auprès de la Caisse d'allocations familiales (CAF), les ministères de l'Intérieur et de la Justice, les services des impôts et de la direction générale des Finances publiques (DGFIP) , la Caisse nationale d'assurance vieillesse (CNAV), la Caisse nationale d'assurance maladie (sécurité sociale) , la Mutualité sociale agricole (MSA), Pôle emploi et La Poste. Des services des collectivités territoriales ou d’autres partenaires (SNCF, banques) peuvent être proposés.";-----;Individuel;Gratuit;Quotidienne;Non;-----;Non;-----;Tout public;-----;Oui;-----;chéques #APTIC acceptés;"49,5274959";"3,8567987";Aisne;Laon;CC de la Champagne Picarde
0047;2018;Maison de Services Au Public de Cassel;Privé;Non;Maison de Service au Public (MSAP);msap.cassel@laposte.fr;16 rue de Bergues;59670;Cassel;-----;https://www.maisondeservicesaupublic.fr/content/cassel-bureau-de-poste;Oui;"Mise à disposition d'un accès à internet sur un poste fixe ainsi que du Wi-fi - Équipements supplémentaires : imprimante, scanner, photocopieuse";Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;Oui;"Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services disponibles : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; La Poste   En un lieu unique :    - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous";-----;Individuel;Gratuit;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,800265";"2,487435";Nord;Dunkerque;CC de Flandre Intérieure
0049;2018;Maison de Services Au Public de Crécy-en-Ponthieu;Privé;Non;Maison de Service au Public (MSAP);nathalie.wolmer@ponthieu-marquenterre.fr;Place Jean de Luxembourg;80150;Crécy-en-Ponthieu;03 22 31 84 16;https://www.maisondeservicesaupublic.fr/content/crecy-en-ponthieu-et-rue-point-accueil-multiservices;Non;-----;-----;-----;Non;-----;-----;-----;-----;-----;Oui;Oui;"Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services disponibles : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; La Poste ; GRDF ; Centre social ; Chambre de commerce et d'industrie (CCI) ; Conseil départemental ; EDF; Mission locale ; Régime social des indépendants (RSI) ; Trésor Public      En un lieu unique :    - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous";-----;Individuel;Gratuit;-----;Non;-----;Non;-----;Tout public;-----;-----;-----;-----;"50,252607";"1,882454";Somme;Abbeville;CC Ponthieu-Marquenterre
0050;2018;Espace numérique Achiet-le-Grand;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;19 Rue de la Mairie;62121;Achiet-le-Grand;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Oui;-----;-----;"50,132361";"2,785234";Pas-de-Calais;Arras;CC du Sud-Artois
0051;2018;Espace numérique Bapaume;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;1 chemin des Anzacs;62450;Bapaume;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Oui;-----;-----;"50,101553";"2,864818";Pas-de-Calais;Arras;CC du Sud-Artois
0052;2018;Espace numérique Bertincourt;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;Chemin du Petit Prince;62124;Bertincourt;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Oui;-----;-----;"50,088453";"2,980876";Pas-de-Calais;Arras;CC du Sud-Artois
0053;2018;Espace numérique Bucquoy;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;17 Rue Dierville;62116;Bucquoy;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Oui;-----;-----;"50,139998";"2,709476";Pas-de-Calais;Arras;CC du Sud-Artois
0054;2018;Espace numérique Croisilles;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;7 rue de Saint-Léger;62128;Croisilles;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Oui;-----;-----;"50,198819";"2,87791";Pas-de-Calais;Arras;CC du Sud-Artois
0055;2018;Espace numérique Vaulx-Vraucourt;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;1 Rue de Lagincourt;62159;Vaulx-Vraucourt;-----;http://www.cc-sudartois.fr/;Non;-----;-----;-----;Oui;Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.;Accès libre et inscription;En groupe;Gratuit;-----;Oui;-----;Accompagnement aux démarches informatiques;Accès libre et inscription;En groupe;Gratuit;-----;Non;-----;Non;-----;"Tout public (séniors, jeunes, demandeurs d'emplois)";-----;Non;-----;-----;"50,14852";"2,912223";Pas-de-Calais;Arras;CC du Sud-Artois
0056;2018;Espace numérique Achiet-le-Grand;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;5 rue Neuve;62450;Bapaume;03 21 59 17 17;-----;Non;-----;-----;-----;Oui;Sites web communaux interconnectés;-----;-----;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Tout public;-----;-----;-----;chéques #APTIC acceptés;"50,130909";"2,783111";Pas-de-Calais;Arras;CC du Sud-Artois
0057;2018;Bus itinérant - Conseil départemental de l'Oise;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;1 Rue Cambry;60000;Beauvais;06 71 92 27 46;http://www.oise.fr;Oui;"Equipé d'ordinateurs connectés à Internet, le bus va à la rencontre des personnes sur l'ensemble des communes du canton de Beauvais.";Accès libre;Gratuit;Oui;"Des agents d'accueil et des professionnels sont à bord pour les accueillir et leur faciliter l'accès à l'aide à l'insertion, la formation, l'emploi mais aussi à l'Information et la documentation.";-----;Personnalisé;-----;-----;Oui;-----;Aide aux démarches;-----;Personnalisé;-----;-----;Non;-----;Non;-----;Demandeurs d'emploi;-----;-----;-----;-----;"49,439321";"2,072159";Oise;Beauvais;CA du Beauvaisis
0058;2018;Club POM Informatique;Privé;Non;Association;jeanluc.lebuzullier@orange.fr;1 rue Théophile Gautier;02100;Saint-Quentin;03 23 08 61 03;http://clubpom.free.fr/;Non;-----;-----;-----;Oui;Ateliers thématiques d'initiation pour les débutants en informatique suivant un calendrier consultable sur le site internet. Thématiques prédéfinies par séance.;Accès libre;En groupe;Environ 40€ à l'année;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Membres du club;-----;Oui;-----;-----;"49,852742";"3,280367";Aisne;Saint-Quentin;CA du Saint-Quentinois
0061;2018;Centre Social de Bailleul;Public;Non;"Centre social, Maison de quartier";-----;Rue Paul Perrier;59270;Bailleul;03 28 42 25 80;-----;Non;-----;-----;-----;Oui;"Senior.com : atelier d'initiation à l'informatique dédié aux séniors. Il s'agit d'acquérir les bases de l'outil, apprendre à faire ses démarches en ligne ou encore savoir profiter des opportunités d’Internet.";Sur inscription;En groupe;Payant - Il faut prévoir un forfait en plus de l'adhésion.;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Adhérents de 55 à 75 ans;-----;Oui;-----;-----;"50,7382";"2,73915";Nord;Dunkerque;CC de Flandre Intérieure
0065;16/12/2020;CAF Somme;Privé;Non;"Services publiques (CAF, CPAM, CARSAT, MSA, Finances publiques...)";-----;2 Rue Emile Zola;80300;Albert;0 810 25 80 10;http://www.caf.fr;Oui;"La borne Caf en libre service, en toute simplicité et en quelques secondes, vous pouvez avec votre numéro allocataire et votre code confidentiel : imprimer une attestation de paiement, consulter votre compte, obtenir des informations sur votre Caf.";Accès libre;Gratuit;Oui;"Un travailleur social vous conseille et vous accompagne lorsque vous rencontrez des situations individuelles et familiales difficiles. Le lundi de 13 h 30 à 16 h sur rendez-vous en appelant 0 810 25 80 10 (0,06€/min + prix d'un appel local).";Sur rendez-vous;Personnalisé;-----;-----;Oui;-----;Accompagnement aux démarches en ligne CAF -  L'accueil pour le RSA : un travailleur social assure l’instruction de votre dossier RSA. Le lundi matin sur rendez-vous uniquement en appelant le 03 22 64 00 04.;Accès libre;Individuel;Gratuit;-----;Non;-----;Non;-----;Allocataires CAF;-----;Oui;-----;-----;"50,00464";"2,64535";Somme;Péronne;CC du Pays du Coquelicot
0070;2018;CAF Somme;Privé;Non;"Services publiques (CAF, CPAM, CARSAT, MSA, Finances publiques...)";-----;Quai Du Pont Neuf;80100;Abbeville;0 810 25 80 10;http://www.caf.fr;Oui;Ordinateurs disponibles dans les locaux de la CAF pour les démarches en ligne;Accès libre;Gratuit;Oui;La CAF Somme propose aux familles allocataires avec un quotient familial inférieur à 800 de bénéficier d'un prêt à taux 0 pour acheter du matériel informatique.;Sur rendez-vous;Personnalisé;-----;-----;Oui;-----;Accompagnement aux démarches en ligne CAF;Accès libre;Individuel;Gratuit;-----;Non;-----;Oui;matériel informatique;Familles allocataires avec quotient familial (QF) inférieur à 800;-----;-----;-----;-----;"50,106284";"1,828669";Somme;Abbeville;CA de la Baie de Somme
0073;2018;AFAD du Douaisis;Privé;Non;Association;afad.douaisis@orange.fr;386 Rue d'Arras;59501;Douai;-----;https://sites.google.com/site/afaddouaisis/;Non;-----;-----;-----;Oui;"Atelier de  Formation à l'apprentissage de l'informatique (F.A.I.R.E)  - L'AFAD du Douaisis propose une formation pour sensibiliser et informer autour de l'usage des sites institutionnels (CAF, Pôle Emploi, Ameli…).";Sur inscription;4 groupes de 10 personnes sont prévus dans l'année sur l'arrondissement de Douai. Un groupe a une durée de 3/4 semaines. Les séances durent 3h (sauf la séance 1 et la séance 2).;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Oui;Il est proposé aux participants d'obtenir un ordinateur pour 10€ (plus 5€ pour une clé wifi) qui est installé à domicile.;Allocataires du RSA dépourvus de l'outil informatique;-----;-----;-----;-----;"50,369267";"3,073949";Nord;Douai;CA du Douaisis Agglo
0074;2018;Perspectives;Privé;Non;Association;Cyberperspectives59@gmail.com;"18 Boulevard de Metz, Entrée 18 Porte 2";59000;Lille;03 20 44 79 81;-----;Oui;L'association dispose d'un cyber centre d'une dizaine d'ordinateurs.;Rendez-vous préférable;Gratuit;Oui;Possibilité de suivre une formation en groupe sur plusieurs semaines selon les demandes;Rendez-vous préférable;Accompagnement individuel et personnalisé;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Adhérents;-----;Oui;-----;-----;"50,643324";"3,001408";Nord;Lille;Métropole Européenne de Lille
